login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name,pushed_at
NotHarshhaa,NotHarshhaa/DevOps-Tool-Installer,2024-07-30T15:49:08Z,33,33,Shell,True,True,bsd-3-clause,2024-09-30 15:33:16+00:00
dkapur17,dkapur17/project-louis,2024-09-23T18:07:33Z,0,0,C++,True,False,,2024-09-30 14:17:58+00:00
kritikarag,kritikarag/DSA-Prep,2022-05-02T23:12:35Z,8,8,C++,True,True,mit,2024-09-29 17:29:29+00:00
gkdevops,gkdevops/cloud-and-devops-certifications,2022-02-03T19:31:34Z,0,0,,True,True,apache-2.0,2024-09-29 16:16:52+00:00
gkdevops,gkdevops/devops-prerequisites,2021-01-28T01:38:22Z,4,4,,True,True,,2024-09-29 16:15:45+00:00
OmGodse,OmGodse/omgodse.github.io,2023-03-19T13:04:41Z,1,1,HTML,False,False,,2024-09-29 15:37:20+00:00
gkdevops,gkdevops/aws-3tier-project-demo,2024-09-28T14:08:36Z,0,0,TypeScript,True,True,,2024-09-29 12:58:05+00:00
jaiakash,jaiakash/admin-dashboard,2023-12-01T09:40:13Z,0,0,JavaScript,True,True,,2024-09-29 12:51:44+00:00
Shra1V32,Shra1V32/cpu-usage-aggregator,2024-08-09T07:52:35Z,1,1,Python,True,True,,2024-09-29 06:28:10+00:00
Karthik2917k,Karthik2917k/rnit-todo,2024-09-28T07:20:23Z,0,0,TypeScript,True,True,,2024-09-29 06:10:03+00:00
bytesByHarsh,bytesByHarsh/blogs,2021-12-29T06:51:38Z,0,0,SCSS,True,False,mit,2024-09-28 16:10:00+00:00
tittuvarghese,tittuvarghese/fabric,2024-09-24T13:30:37Z,0,0,,True,False,apache-2.0,2024-09-28 15:04:05+00:00
swaroopnadella,swaroopnadella/CoreJava_June2024Batch,2024-08-04T12:09:40Z,0,0,Java,True,True,,2024-09-28 14:50:38+00:00
bytesByHarsh,bytesByHarsh/bytesByHarsh,2021-02-06T20:57:26Z,0,0,,True,True,,2024-09-28 13:39:04+00:00
SaikrishnaReddy1919,SaikrishnaReddy1919/data-marathon,2024-09-23T18:04:54Z,0,0,JavaScript,True,False,,2024-09-28 09:56:06+00:00
NotHarshhaa,NotHarshhaa/DevOps_Setup-Installations,2023-09-08T11:39:28Z,99,99,,True,True,,2024-09-28 09:50:09+00:00
abhinav-upadhyay,abhinav-upadhyay/Essentials-of-Compilation,2024-08-02T07:29:47Z,0,0,,True,True,,2024-09-28 08:51:28+00:00
SiddharthaBose30,SiddharthaBose30/TubeRecap,2024-03-23T22:39:27Z,1,1,TypeScript,True,True,,2024-09-28 05:50:15+00:00
husain-zaidi,husain-zaidi/husain-zaidi.github.io,2023-02-26T12:15:13Z,0,0,SCSS,True,True,other,2024-09-27 16:58:59+00:00
zubairabid,zubairabid/azure-rest-api-specs,2022-10-03T11:42:46Z,0,0,HCL,True,True,mit,2024-09-27 08:04:41+00:00
suhailroushan13,suhailroushan13/API-Security-Fundamentals,2024-09-15T20:27:51Z,0,0,,True,True,,2024-09-27 07:19:45+00:00
nmondal,nmondal/lucene-s3directory,2024-09-27T04:52:33Z,0,0,Java,True,True,apache-2.0,2024-09-27 06:21:06+00:00
prudhvir3ddy,prudhvir3ddy/EarlyEntryPoint-Sample,2024-03-23T14:46:47Z,0,0,Kotlin,True,True,,2024-09-27 04:26:04+00:00
prudhvir3ddy,prudhvir3ddy/awesome-working,2024-09-20T08:12:21Z,4,4,,True,True,,2024-09-27 03:35:05+00:00
rafi7391,rafi7391/SmokeTree-Assignment,2024-09-26T14:23:06Z,0,0,JavaScript,True,True,,2024-09-26 14:39:26+00:00
vivekvardhan2810,vivekvardhan2810/CGPA,2023-12-21T13:37:33Z,0,0,Jupyter Notebook,True,True,mit,2024-09-26 14:29:52+00:00
prudhvir3ddy,prudhvir3ddy/Android-At-Scale,2023-09-30T13:04:08Z,3,3,,True,True,gpl-3.0,2024-09-26 00:13:50+00:00
vivekvardhan2810,vivekvardhan2810/Bharti-Airtel-Stock-Price-Prediction,2024-09-25T18:55:15Z,0,0,Jupyter Notebook,True,True,mit,2024-09-25 19:05:38+00:00
vivekvardhan2810,vivekvardhan2810/Apriori-Market-Basket-Analysis,2024-09-25T18:44:51Z,0,0,Jupyter Notebook,True,True,mit,2024-09-25 18:47:10+00:00
vivekvardhan2810,vivekvardhan2810/Cipla-Stock-Price-Prediction,2024-09-25T18:18:52Z,0,0,Jupyter Notebook,True,True,mit,2024-09-25 18:20:23+00:00
thenaveensaggam,thenaveensaggam/next-dashboard,2024-09-24T15:43:52Z,0,0,TypeScript,True,True,,2024-09-24 16:01:07+00:00
sudhir-voleti,sudhir-voleti/Marketing_Segmentation_New,2020-12-27T11:03:31Z,0,0,R,True,True,,2024-09-24 13:10:46+00:00
anantcodes,anantcodes/anantcodes,2020-07-20T15:41:09Z,2,2,,True,True,,2024-09-24 11:59:30+00:00
sanjay-sol,sanjay-sol/lightdash,2024-08-28T21:24:42Z,0,0,,True,False,mit,2024-09-24 10:01:24+00:00
saikiranpi,saikiranpi/Mastering-Docker,2024-06-20T10:11:22Z,62,62,Shell,True,True,,2024-09-24 07:10:46+00:00
Zohaib-Sathio,Zohaib-Sathio/Chicken-Disease-Classification-MLOps-Approach,2024-09-19T17:36:11Z,0,0,Jupyter Notebook,True,True,,2024-09-23 15:15:31+00:00
nmondal,nmondal/cowj,2023-05-30T13:29:55Z,16,16,Java,True,True,apache-2.0,2024-09-23 07:28:32+00:00
nithingooud,nithingooud/developer-nithin-admin,2024-09-21T05:04:29Z,0,0,JavaScript,True,True,,2024-09-22 15:42:53+00:00
SiddharthaBose30,SiddharthaBose30/privacy-policy,2024-09-22T00:04:28Z,0,0,HTML,True,True,,2024-09-22 00:08:56+00:00
iamshubhamg,iamshubhamg/iamshubhamg.github.io,2020-01-18T16:01:12Z,7,7,HTML,True,True,mit,2024-09-21 20:25:04+00:00
arnab9593,arnab9593/cookbook,2024-09-21T14:24:11Z,0,0,TypeScript,True,True,mit,2024-09-21 14:42:22+00:00
iamshubhamg,iamshubhamg/Book-My-Show-Coldplay-tickets,2024-09-21T13:23:39Z,6,6,Python,True,True,,2024-09-21 14:35:17+00:00
Sudhindra3000,Sudhindra3000/Delta-App-Dev-Project,2020-10-12T05:50:17Z,2,2,Java,True,True,,2024-09-21 12:20:38+00:00
devalab,devalab/SynFormer,2024-04-24T17:42:25Z,0,0,Jupyter Notebook,True,True,mit,2024-09-21 07:45:15+00:00
kartikmandhan,kartikmandhan/ctf,2024-09-21T05:28:53Z,0,0,JavaScript,True,True,,2024-09-21 05:33:31+00:00
shravankoninti,shravankoninti/Patent-DraftGenerator,2024-09-19T19:49:35Z,0,0,Jupyter Notebook,True,True,,2024-09-21 03:14:45+00:00
fayaz07,fayaz07/awesome-working,2024-09-20T17:53:54Z,0,0,,True,True,,2024-09-20 08:15:41+00:00
saiankit,saiankit/cgpacalculator,2020-07-07T06:32:14Z,12,12,Dart,True,True,,2024-09-19 19:15:08+00:00
MRamya-sri,MRamya-sri/Java-Script,2024-08-28T13:20:38Z,0,0,JavaScript,True,True,,2024-09-19 14:04:08+00:00
devalab,devalab/DeepPocket,2021-03-05T11:21:46Z,90,90,Python,True,True,mit,2024-09-19 11:37:05+00:00
urvashii-b,urvashii-b/Challenges2024,2024-03-09T18:41:22Z,1,1,Jupyter Notebook,True,True,,2024-09-19 11:21:46+00:00
urvashii-b,urvashii-b/Design,2024-09-18T12:20:04Z,3,3,C++,True,True,,2024-09-19 11:07:41+00:00
in28minutes,in28minutes/course-material,2021-01-14T13:57:40Z,989,989,,True,True,,2024-09-19 05:48:02+00:00
hindupuravinash,hindupuravinash/transformers,2024-02-13T18:14:20Z,0,0,Python,True,True,apache-2.0,2024-09-19 03:51:46+00:00
Himanshu12866,Himanshu12866/E-Com-Web-App,2024-08-15T12:07:28Z,2,2,JavaScript,True,True,,2024-09-18 15:43:50+00:00
omkar-334,omkar-334/Amazon-ML-Challenge,2024-09-12T19:29:34Z,0,0,Jupyter Notebook,True,True,,2024-09-18 09:49:49+00:00
tejasvicsr1,tejasvicsr1/my-blog,2024-07-07T16:49:17Z,0,0,JavaScript,True,True,mit,2024-09-18 02:02:03+00:00
souvik150,souvik150/BookManagementSystem,2024-09-17T07:00:48Z,0,0,Java,True,True,,2024-09-17 18:04:46+00:00
RakeshSangem,RakeshSangem/Lift-Simulation,2024-08-22T16:32:28Z,0,0,JavaScript,True,True,,2024-09-17 17:26:21+00:00
praveensripati,praveensripati/learn-aws,2020-10-18T14:44:28Z,25,25,Python,True,True,,2024-09-17 10:07:52+00:00
mssanamateen,mssanamateen/SDC-IOT,2023-10-14T08:43:07Z,5,5,C++,True,True,,2024-09-17 10:02:44+00:00
dnabanita7,dnabanita7/dnabanita7.github.io,2024-04-04T17:25:07Z,0,0,HTML,True,True,mit,2024-09-17 04:05:28+00:00
aadhar54,aadhar54/aadhar54,2021-04-10T08:10:29Z,5,5,,True,True,,2024-09-17 00:28:39+00:00
pratishtha-abrol,pratishtha-abrol/the-polite-lang,2024-09-16T14:26:53Z,0,0,,True,False,mit,2024-09-16 14:26:54+00:00
keshav-exe,keshav-exe/cms,2024-08-03T12:48:25Z,0,0,TypeScript,True,True,,2024-09-16 07:21:34+00:00
narasimhavuppala,narasimhavuppala/02_Online-Calculator,2017-12-07T15:48:59Z,0,0,Java,True,True,,2024-09-16 01:56:25+00:00
harshit3011,harshit3011/Go-Book-Management,2024-09-14T12:59:49Z,0,0,Go,True,True,,2024-09-14 13:00:56+00:00
sonali123123,sonali123123/dockerimagehub,2024-09-14T10:38:07Z,0,0,Python,True,True,,2024-09-14 11:26:06+00:00
akcube,akcube/Inter-college-Competitive-Programming-Camp,2023-08-15T09:57:01Z,9,9,Python,True,True,,2024-09-14 10:13:18+00:00
ankitpati,ankitpati/dockerfiles,2022-04-17T16:44:59Z,0,0,Dockerfile,False,False,gpl-3.0,2024-09-14 08:19:11+00:00
codewithdev,codewithdev/actual-docs,2024-07-04T21:21:48Z,0,0,JavaScript,True,False,,2024-09-14 05:11:02+00:00
imajaydwivedi,imajaydwivedi/SQLDBA-SSMS-Solution,2023-12-09T01:32:40Z,4,4,TSQL,True,True,mit,2024-09-14 04:19:30+00:00
shravankoninti,shravankoninti/mai-deploy-frontend,2024-09-15T11:41:36Z,0,0,,True,True,,2024-09-14 02:39:57+00:00
shravankoninti,shravankoninti/mai-deploy,2024-09-15T11:37:56Z,0,0,,True,True,apache-2.0,2024-09-14 02:38:18+00:00
phanimahesh,phanimahesh/dotfiles,2015-02-19T11:51:56Z,3,3,Shell,True,True,mit,2024-09-13 12:49:24+00:00
hemanth22,hemanth22/30-Days-Of-JavaScript,2021-04-25T15:51:02Z,2,2,JavaScript,True,True,,2024-09-12 13:45:46+00:00
adiralashiva8,adiralashiva8/robbotframework-selenium2browser,2024-09-06T05:48:46Z,0,0,RobotFramework,True,True,,2024-09-12 13:43:08+00:00
samhita-alla,samhita-alla/GFPGAN,2024-09-12T10:03:18Z,0,0,Python,True,True,other,2024-09-12 10:04:02+00:00
07-Mayankraj,07-Mayankraj/React_1.0,2024-07-28T13:25:12Z,0,0,JavaScript,True,True,,2024-09-11 20:12:43+00:00
Kabir-Sagiii,Kabir-Sagiii/AIT_ReactDemos,2023-05-16T02:04:52Z,0,0,HTML,True,True,,2024-09-11 15:31:27+00:00
saikiranpi,saikiranpi/Mastering-Kubernetes,2024-07-23T05:54:06Z,37,37,,True,True,,2024-09-11 14:43:24+00:00
amit-bhandari,amit-bhandari/amit-bhandari,2024-01-16T12:47:36Z,0,0,,True,True,,2024-09-11 12:37:50+00:00
Zohaib-Sathio,Zohaib-Sathio/Detection-of-AI-Generated-Audios-Face-Images,2024-09-10T17:06:47Z,0,0,HTML,True,True,,2024-09-10 18:01:08+00:00
in28minutes,in28minutes/devops-master-class,2020-01-20T03:46:30Z,2304,2304,Java,True,True,,2024-09-10 15:32:33+00:00
chandu078,chandu078/android_system_core,2024-09-08T16:35:11Z,0,0,C++,True,False,other,2024-09-10 04:48:39+00:00
venkat09docs,venkat09docs/HF-FastAPI-with-github-actions,2024-09-09T03:21:03Z,0,0,Python,True,True,,2024-09-10 03:35:49+00:00
RAJANAGORI,RAJANAGORI/Nightingale,2020-10-04T16:38:40Z,226,226,Dockerfile,True,True,gpl-3.0,2024-09-09 18:53:24+00:00
KORLA2,KORLA2/End-to-End-Jenkins-Pipeline,2024-09-05T05:43:12Z,0,0,JavaScript,True,True,,2024-09-08 11:58:24+00:00
NotHarshhaa,NotHarshhaa/prodevopsguy.hashnode.dev,2023-09-20T10:58:16Z,3,3,,True,True,,2024-09-08 11:01:07+00:00
imajaydwivedi,imajaydwivedi/Linux-Learning,2022-01-10T04:08:43Z,1,1,Shell,True,True,mit,2024-09-08 09:51:40+00:00
sirilalithaadapa,sirilalithaadapa/e-commerce,2024-08-10T09:25:13Z,0,0,JavaScript,True,False,mit,2024-09-08 08:46:55+00:00
kasiriveni,kasiriveni/javascript-problem-solving,2024-09-07T11:26:17Z,0,0,,True,True,,2024-09-07 11:26:17+00:00
abhinav-upadhyay,abhinav-upadhyay/bloomfilters-and-beyond,2023-09-05T19:10:29Z,3,3,Python,True,True,mit,2024-09-07 08:50:25+00:00
soumitradev,soumitradev/3d_explicit_cuda_code_with_locally_computed_weights_one,2024-06-13T05:35:04Z,0,0,Fortran,True,True,,2024-09-07 03:05:14+00:00
sharanya02,sharanya02/krispydb,2021-01-13T19:00:08Z,0,0,JavaScript,True,True,,2024-09-06 05:18:37+00:00
specialsusheel,specialsusheel/FlowScope,2024-09-06T04:29:03Z,0,0,Python,True,True,,2024-09-06 04:30:08+00:00
RakeshSangem,RakeshSangem/justlink,2024-01-10T11:49:11Z,0,0,TypeScript,True,True,,2024-09-06 02:15:59+00:00
shreyamalogi,shreyamalogi/Dockerizing-Node-app,2024-09-05T19:43:05Z,3,3,JavaScript,True,True,mit,2024-09-05 20:44:16+00:00
sanjay-sol,sanjay-sol/chartdb,2024-09-05T14:10:34Z,0,0,,True,False,agpl-3.0,2024-09-05 14:22:19+00:00
Faizan2228,Faizan2228/Data_Structure_and_Algorithm,2024-09-05T10:56:51Z,0,0,HTML,True,True,,2024-09-05 11:02:04+00:00
in28minutes,in28minutes/camel,2021-01-18T11:47:36Z,83,83,JavaScript,True,True,,2024-09-05 07:23:55+00:00
venkat09docs,venkat09docs/Flask-app-demo-github-actions,2024-09-04T03:10:34Z,0,0,Python,True,True,,2024-09-05 03:59:38+00:00
saikiranpi,saikiranpi/DevOps-interview-Kit,2024-06-22T05:44:40Z,33,33,,True,True,,2024-09-05 02:42:07+00:00
kaushik-rishi,kaushik-rishi/concurrency-examples,2024-09-04T16:41:26Z,0,0,Java,True,True,,2024-09-04 16:44:28+00:00
NotHarshhaa,NotHarshhaa/Kubernetes,2023-08-10T04:20:20Z,103,103,Dockerfile,True,True,,2024-09-04 16:04:15+00:00
Faizan2228,Faizan2228/React-Projects,2024-07-14T07:21:23Z,0,0,JavaScript,True,True,,2024-09-04 11:20:42+00:00
SAGARSURI,SAGARSURI/AVCheck,2024-09-04T09:13:44Z,0,0,Swift,True,True,,2024-09-04 10:21:26+00:00
fayaz07,fayaz07/fayaz07.github.io,2022-02-10T03:52:44Z,1,1,HTML,True,True,,2024-09-04 04:25:22+00:00
iampranavdhar,iampranavdhar/campusmind,2023-02-19T14:39:23Z,11,11,JavaScript,True,True,mit,2024-09-03 16:28:09+00:00
arunmotoori,arunmotoori/Batch3AutomationPartTwo,2024-08-28T15:25:48Z,0,0,Java,True,True,,2024-09-03 15:17:06+00:00
nischalare,nischalare/googleapichatbot,2024-09-03T14:28:16Z,0,0,,True,True,,2024-09-03 14:28:16+00:00
venkat09docs,venkat09docs/HF-Notebooks,2024-08-27T07:11:49Z,0,0,Jupyter Notebook,True,True,,2024-09-03 11:43:31+00:00
venkat09docs,venkat09docs/github-actions-demo,2024-09-03T03:12:46Z,0,0,,True,True,,2024-09-03 03:55:44+00:00
muralikrishna188,muralikrishna188/ABC-HRMS-June2024,2024-07-02T02:36:29Z,0,0,,True,True,,2024-09-03 03:17:26+00:00
harinadh76,harinadh76/harinadh76,2021-11-13T11:16:03Z,2,2,,True,False,,2024-09-02 17:34:46+00:00
nischalare,nischalare/chatllm,2024-09-02T17:21:46Z,0,0,,True,True,,2024-09-02 17:21:46+00:00
shreyamalogi,shreyamalogi/Customer-Purchase-Insights,2024-08-31T14:35:45Z,3,3,Jupyter Notebook,True,True,mit,2024-09-02 14:32:03+00:00
iam-veeramalla,iam-veeramalla/community-operators-prod,2023-08-16T17:04:56Z,106,106,Dockerfile,True,False,apache-2.0,2024-09-02 13:34:29+00:00
iam-veeramalla,iam-veeramalla/community-operators,2023-08-11T18:48:35Z,101,101,Dockerfile,True,False,apache-2.0,2024-09-02 13:00:08+00:00
surajbahadur591,surajbahadur591/classroomio,2024-09-02T08:33:14Z,0,0,,True,True,agpl-3.0,2024-09-02 08:07:46+00:00
ASHWIN990,ASHWIN990/LordPuneet,2023-05-29T07:11:02Z,0,0,CSS,True,True,,2024-09-02 05:12:48+00:00
umangahuja1,umangahuja1/grep-example,2024-08-31T19:46:03Z,0,0,,True,False,mit,2024-09-01 20:04:41+00:00
nandakishormpai,nandakishormpai/nandakishormpai,2021-04-30T03:17:02Z,0,0,,True,True,,2024-09-01 18:43:20+00:00
SAGARSURI,SAGARSURI/codecrafters-shell-rust,2024-09-01T07:24:41Z,0,0,Rust,True,True,,2024-09-01 07:24:56+00:00
SAGARSURI,SAGARSURI/codecrafters-http-server-dart,2024-09-01T07:21:52Z,0,0,Dart,True,True,,2024-09-01 07:22:35+00:00
amit-bhandari,amit-bhandari/AB-Music-Player,2018-01-21T19:49:30Z,83,83,Java,True,True,apache-2.0,2024-09-01 06:54:34+00:00
amit-bhandari,amit-bhandari/Stopwatch-Jetpack-Compose,2024-08-25T14:04:19Z,16,16,Kotlin,True,True,,2024-09-01 06:54:06+00:00
aadhar54,aadhar54/1FSD,2024-06-27T01:55:56Z,0,0,JavaScript,True,True,,2024-08-31 12:45:59+00:00
kulbirsaini,kulbirsaini/Home-Page,2011-03-02T18:14:26Z,2,2,HTML,True,True,,2024-08-31 11:34:05+00:00
crusader2000,crusader2000/poisson_matting,2020-11-27T13:16:41Z,1,1,Jupyter Notebook,True,True,,2024-08-30 23:55:54+00:00
biswaroop1547,biswaroop1547/face_detection_and_gender_and_age_estimation,2020-07-07T04:14:17Z,2,2,Python,True,True,,2024-08-30 23:54:21+00:00
rishabsingh3003,rishabsingh3003/Swarm-Alphabet,2020-03-11T12:47:35Z,6,6,Python,True,True,gpl-3.0,2024-08-30 23:52:05+00:00
Pavankunchala,Pavankunchala/Deep-Learning,2020-07-24T08:34:47Z,33,33,Python,True,True,,2024-08-30 23:44:32+00:00
prateekkumarweb,prateekkumarweb/giscus,2024-08-30T17:11:20Z,0,0,,False,False,,2024-08-30 17:11:21+00:00
ERAMITDHOMNE,ERAMITDHOMNE/Batch-009-,2024-08-30T16:39:43Z,0,0,HTML,True,True,,2024-08-30 16:40:14+00:00
sonali123123,sonali123123/CustomGPT,2024-08-30T08:28:11Z,0,0,Python,True,True,,2024-08-30 11:45:47+00:00
keshav-exe,keshav-exe/projekt-kosh,2024-08-10T11:28:20Z,38,38,TypeScript,True,True,,2024-08-30 09:14:37+00:00
biju-borah,biju-borah/CarlSMSfrontend,2024-03-07T17:47:32Z,0,0,JavaScript,True,True,,2024-08-28 16:38:45+00:00
The-Coder-Kishor,The-Coder-Kishor/Discord-CAS,2024-03-23T15:48:56Z,0,0,Python,True,True,,2024-08-28 16:32:13+00:00
rajdeepd,rajdeepd/deeplearningai,2023-06-03T08:40:20Z,0,0,Jupyter Notebook,True,True,,2024-08-28 10:09:46+00:00
akshatdalton,akshatdalton/akshatdalton,2021-06-15T09:47:41Z,1,1,,True,True,,2024-08-28 09:09:09+00:00
abhinav-upadhyay,abhinav-upadhyay/cpython,2023-08-09T17:46:59Z,0,0,Python,True,False,other,2024-08-28 07:08:18+00:00
iam-veeramalla,iam-veeramalla/argocd-operator,2023-07-03T09:46:13Z,238,238,,True,False,apache-2.0,2024-08-28 05:59:00+00:00
kritikarag,kritikarag/odoo,2024-08-28T00:47:46Z,0,0,,True,True,other,2024-08-28 00:20:23+00:00
kritikarag,kritikarag/kritikarag,2022-08-21T20:22:48Z,0,0,,True,True,,2024-08-27 23:53:21+00:00
Shahzaib-D-Memon,Shahzaib-D-Memon/Quiz-App,2024-06-28T06:29:35Z,1,1,JavaScript,True,True,,2024-08-27 15:41:06+00:00
narasimhavuppala,narasimhavuppala/01-spring-data-demos,2019-07-30T17:59:36Z,0,0,Java,True,True,,2024-08-26 17:13:17+00:00
stacksimplify,stacksimplify/springboot-buildingblocks,2019-07-27T04:04:42Z,40,40,Java,True,True,,2024-08-26 17:10:56+00:00
anantcodes,anantcodes/Data-Analysis,2024-07-31T08:11:34Z,0,0,Jupyter Notebook,True,True,,2024-08-26 13:56:23+00:00
sudhir-voleti,sudhir-voleti/FactorAn,2022-09-02T08:01:50Z,0,0,,True,True,,2024-08-26 07:42:49+00:00
jaiakash,jaiakash/.github,2024-08-04T09:06:37Z,0,0,,True,True,,2024-08-26 05:14:00+00:00
whoisandy,whoisandy/go-redis-queue,2024-08-25T07:04:11Z,0,0,Go,True,True,mit,2024-08-25 07:05:11+00:00
07-Mayankraj,07-Mayankraj/mock-server,2023-04-20T20:10:23Z,1,1,JavaScript,True,True,,2024-08-24 21:47:08+00:00
static-var,static-var/hugo-theme-monochrome,2023-08-15T17:03:46Z,0,0,HTML,True,True,mit,2024-08-24 08:13:55+00:00
vikaschoudhary16,vikaschoudhary16/ebpf,2024-08-20T10:21:12Z,0,0,,True,False,mit,2024-08-24 00:44:12+00:00
MadhavBahl,MadhavBahl/all-about-investments,2024-07-04T17:38:31Z,8,8,,True,False,,2024-08-23 17:23:25+00:00
Dayitva,Dayitva/Alpha-Challenge,2024-08-25T02:41:51Z,0,0,,True,False,,2024-08-23 15:04:57+00:00
mintuhouse,mintuhouse/langchain,2024-07-28T03:32:29Z,0,0,,True,True,mit,2024-08-22 20:45:41+00:00
kshyam,kshyam/devops-news,2024-08-22T19:15:18Z,0,0,,True,True,,2024-08-22 19:56:55+00:00
UmamaheshMaxwell,UmamaheshMaxwell/aiven-api-endpoints,2024-08-09T07:45:59Z,0,0,Shell,True,True,,2024-08-22 18:02:36+00:00
harshit3011,harshit3011/Order-Management-gRPC,2024-08-22T10:56:07Z,0,0,Go,True,True,,2024-08-22 14:22:52+00:00
InterviewReady,InterviewReady/system-design-resources,2022-05-19T05:37:49Z,15896,15896,,True,True,gpl-3.0,2024-08-22 04:25:10+00:00
amoghakancharla,amoghakancharla/first-contributions,2023-09-10T07:37:24Z,0,0,,True,True,mit,2024-08-21 15:16:03+00:00
kshyam,kshyam/ai-tools-bookmark-manager,2024-08-21T05:34:15Z,0,0,JavaScript,True,True,,2024-08-21 06:20:20+00:00
avijit9,avijit9/awesome-domain-adaptation,2024-08-20T18:26:37Z,0,0,,True,True,mit,2024-08-20 18:29:55+00:00
arunmotoori,arunmotoori/JavaBatchThree,2024-07-26T13:09:55Z,0,0,Java,True,True,,2024-08-20 16:01:05+00:00
manishprivet,manishprivet/.dotfiles,2023-03-19T05:55:14Z,0,0,Shell,True,True,,2024-08-20 15:15:42+00:00
shreyamalogi,shreyamalogi/data-prepossessing-using-pandas,2024-08-20T11:38:35Z,3,3,Jupyter Notebook,True,True,,2024-08-20 12:10:26+00:00
kasiriveni,kasiriveni/nodejs-examples,2024-08-19T13:58:13Z,0,0,JavaScript,True,True,mit,2024-08-20 11:19:50+00:00
20sw084,20sw084/appbar_dropdown,2024-08-20T07:09:31Z,0,0,,True,True,bsd-3-clause,2024-08-20 07:12:23+00:00
raghurama123,raghurama123/allometry,2024-08-19T15:25:47Z,0,0,,True,True,mit,2024-08-19 15:25:47+00:00
iam-veeramalla,iam-veeramalla/aws-devops-zero-to-hero,2023-06-19T06:13:08Z,6826,6826,Python,True,True,apache-2.0,2024-08-19 07:36:34+00:00
sagaragarwal94,sagaragarwal94/sagaragarwal94.github.io,2020-05-07T21:39:28Z,0,0,CSS,True,True,,2024-08-19 06:53:01+00:00
praveenpuglia,praveenpuglia/dotfiles,2017-07-12T18:43:25Z,4,4,Shell,True,True,,2024-08-19 04:00:17+00:00
Dayitva,Dayitva/banilot,2024-08-19T03:00:08Z,0,0,TypeScript,True,True,,2024-08-19 03:00:25+00:00
ASHWIN990,ASHWIN990/ADB-Toolkit,2019-03-15T15:56:34Z,1551,1551,Shell,True,True,gpl-3.0,2024-08-18 20:56:06+00:00
hemanth22,hemanth22/30-Days-Of-Python,2021-04-25T15:52:05Z,0,0,Python,True,True,,2024-08-17 23:00:55+00:00
sanjay-sol,sanjay-sol/learning-golang,2024-04-24T11:34:06Z,1,1,Go,True,True,,2024-08-17 20:15:17+00:00
asdsyd,asdsyd/GitHubExplorer,2024-08-05T14:41:22Z,0,0,Swift,True,True,,2024-08-17 10:29:25+00:00
mayank2903,mayank2903/codeforcesRatingNotifier,2024-08-17T09:30:37Z,0,0,,True,True,,2024-08-17 09:30:37+00:00
thecaffeinedev,thecaffeinedev/cli,2024-08-07T07:04:32Z,0,0,Go,True,False,mit,2024-08-16 17:24:59+00:00
iam-veeramalla,iam-veeramalla/ansible-zero-to-hero,2024-05-15T12:27:58Z,615,615,HTML,True,False,apache-2.0,2024-08-16 14:17:04+00:00
nmondal,nmondal/commons-jxpath,2022-12-13T17:09:22Z,0,0,Java,True,False,apache-2.0,2024-08-16 07:09:27+00:00
imajaydwivedi,imajaydwivedi/Images,2018-04-26T10:50:06Z,3,3,,True,True,,2024-08-16 02:02:08+00:00
mintuhouse,mintuhouse/weaviate-python-client,2024-08-16T03:25:15Z,0,0,,True,False,bsd-3-clause,2024-08-15 21:06:11+00:00
nischalare,nischalare/360degreeproductviewer,2024-08-15T16:48:40Z,0,0,JavaScript,True,True,,2024-08-15 16:57:35+00:00
Megha-Bose,Megha-Bose/Adaptive-MTD,2022-08-12T05:28:25Z,2,2,Python,True,True,,2024-08-15 14:46:12+00:00
apnerve,apnerve/client-sdk-js,2022-08-26T12:42:45Z,1,1,TypeScript,True,True,apache-2.0,2024-08-15 07:32:50+00:00
yaswanthpalaghat,yaswanthpalaghat/Disease-prediction-using-Machine-Learning,2018-11-13T08:50:02Z,102,102,Python,True,True,,2024-08-14 07:30:37+00:00
stacksimplify,stacksimplify/google-kubernetes-engine,2023-02-26T05:47:02Z,141,141,HTML,True,True,,2024-08-14 06:24:56+00:00
thecaffeinedev,thecaffeinedev/jaeger,2024-08-06T07:28:16Z,0,0,Go,True,False,apache-2.0,2024-08-14 04:09:52+00:00
crux-bphc,crux-bphc/chronofactorem-rewrite,2023-06-17T15:20:05Z,13,13,TypeScript,True,True,mit,2024-08-14 02:19:57+00:00
nithingooud,nithingooud/independence78,2024-08-14T02:06:52Z,1,1,HTML,True,True,,2024-08-14 02:06:54+00:00
afarhan,afarhan/sbitx,2020-12-06T04:36:47Z,170,170,C,True,True,,2024-08-13 19:21:13+00:00
AurumnPegasus,AurumnPegasus/AurumnPegasus.github.io,2024-08-11T17:21:06Z,0,0,,True,True,gpl-3.0,2024-08-13 16:39:18+00:00
GO-viper7,GO-viper7/Submitty,2023-12-30T12:19:39Z,0,0,PHP,True,False,bsd-3-clause,2024-08-13 13:34:59+00:00
hemanth22,hemanth22/ansible-real-life,2022-11-25T15:43:15Z,0,0,Python,True,False,mit,2024-08-13 07:15:40+00:00
chandu078,chandu078/android_kernel_oneplus_sm8550-modules,2024-08-13T04:37:43Z,0,0,,True,False,,2024-08-13 04:46:51+00:00
